<<<<<<< HEAD
장소,공간,대상,위치,행동,횟수/시간,기타1,기타2
교실,0,친구,0,말을 걸다,n번/n명에게,0,
교실,0,0,0,점프하다,0,0,
교실,0,0,0,점프하다,0,0,
교실,거울,0,벽,친구와 대화하다,0,0,
복도,스타샵,0,끝,별을 사용하다,0,0,
쥐라기 파크,0,공룡탐험대,0,말을 걸다,n번/n명에게,0,
쥐라기 파크,0,공룡,0,말을 걸다,n번/n마리에게,[MASK]공룡에게,
쥐라기 파크,0,공룡,0,올라타다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡알,0,찾다,n개,0,
쥐라기 파크,0,0,0,점프하다,0,0,
쥐라기 파크,0,0,0,점프하다,0,0,
쥐라기 파크,0,공룡,0,올라타다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡,0,올라타다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡,0,올라타다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡 위,0,점프하다,0,[MASK]공룡에게,
쥐라기 파크,0,0,0,점프하다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡알,0,깨다,n개/n번,0,
쥐라기 파크,0,공룡알,0,누르다,n개/n번,0,
도서관,0,베스트셀러,0,읽다,n권,0,
도서관,0,책,0,읽다,n권,[MASK]책을,
도서관,0,친구(NPC),0,말을 걸다,n번/n명에게,0,
갤러리,0,그림,0,보다,n개,[MASK]그림을,
옥상,0,탐사선,0,올라타다,0,0,
옥상,0,0,0,점프하다,0,0,
태양계,0,0,0,점프하다,0,0,
태양계,0,0,0,탐험하다,0,0,
태양계,행성,0,0,탐험하다,0,[MASK]행성을,
[MASK]장소,0,0,0,가다,0,0,
[MASK]장소,0,0,0,걷다,n분동안,0,
[MASK]장소,0,0,0,달리다,n분동안,0,
[MASK]장소,0,0,0,점프하다,n번,0,
[MASK]장소,0,0,0,사진을 찍다,n번,[MASK]와 함께,
0,0,펫,0,터치하다,n번,0,
0,0,펫,0,[MASK]행동을 하게 하다,0,0,
0,0,펫,0,부르다,0,0,
0,0,펫,0,보내다,0,0,
0,0,옷,0,갈아입다,0,[MASK]옷으로,
거북선,0,바다 위,0,누비다,0,0
거북선,0,갑판 위,0,점프하다,0,0
거북선,0,0,0,점프하다,0,0
거북선,0,적,0,무찌르다,0,0
게임기,0,테트리스,0,하다,0,0
게임기,0,비주얼 게임,0,하다,0,0
자동차,안,운전석,0,앉다,0,0,
자동차,안,조수석,0,앉다,0,0,
자동차,옆,0,0,점프하다,0,0,
놀이터,0,그네,0,타다,0,0
놀이터,0,철봉,0,올라가다,0,0
놀이터,0,0,0,점프하다,0,0
놀이터,0,0,0,점프하다,0,0
놀이터,0,0,0,점프하다,0,0
=======
장소,공간,대상,위치,행동,횟수/시간,기타1,기타2
교실,0,친구,0,말을 걸다,n번/n명에게,0,
교실,0,0,0,점프하다,0,0,
교실,0,0,0,점프하다,0,0,
교실,거울,0,벽,친구와 대화하다,0,0,
복도,스타샵,0,끝,별을 사용하다,0,0,
쥐라기 파크,0,공룡탐험대,0,말을 걸다,n번/n명에게,0,
쥐라기 파크,0,공룡,0,말을 걸다,n번/n마리에게,[MASK]공룡에게,
쥐라기 파크,0,공룡,0,올라타다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡알,0,찾다,n개,0,
쥐라기 파크,0,0,0,점프하다,0,0,
쥐라기 파크,0,0,0,점프하다,0,0,
쥐라기 파크,0,공룡,0,올라타다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡,0,올라타다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡,0,올라타다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡 위,0,점프하다,0,[MASK]공룡에게,
쥐라기 파크,0,0,0,점프하다,0,[MASK]공룡에게,
쥐라기 파크,0,공룡알,0,깨다,n개/n번,0,
쥐라기 파크,0,공룡알,0,누르다,n개/n번,0,
도서관,0,베스트셀러,0,읽다,n권,0,
도서관,0,책,0,읽다,n권,[MASK]책을,
도서관,0,친구(NPC),0,말을 걸다,n번/n명에게,0,
갤러리,0,그림,0,보다,n개,[MASK]그림을,
옥상,0,탐사선,0,올라타다,0,0,
옥상,0,0,0,점프하다,0,0,
태양계,0,0,0,점프하다,0,0,
태양계,0,0,0,탐험하다,0,0,
태양계,행성,0,0,탐험하다,0,[MASK]행성을,
[MASK]장소,0,0,0,가다,0,0,
[MASK]장소,0,0,0,걷다,n분동안,0,
[MASK]장소,0,0,0,달리다,n분동안,0,
[MASK]장소,0,0,0,점프하다,n번,0,
[MASK]장소,0,0,0,사진을 찍다,n번,[MASK]와 함께,
0,0,펫,0,터치하다,n번,0,
0,0,펫,0,[MASK]행동을 하게 하다,0,0,
0,0,펫,0,부르다,0,0,
0,0,펫,0,보내다,0,0,
0,0,옷,0,갈아입다,0,[MASK]옷으로,
거북선,0,바다 위,0,누비다,0,0
거북선,0,갑판 위,0,점프하다,0,0
거북선,0,0,0,점프하다,0,0
거북선,0,적,0,무찌르다,0,0
게임기,0,테트리스,0,하다,0,0
게임기,0,비주얼 게임,0,하다,0,0
자동차,안,운전석,0,앉다,0,0,
자동차,안,조수석,0,앉다,0,0,
자동차,옆,0,0,점프하다,0,0,
놀이터,0,그네,0,타다,0,0
놀이터,0,철봉,0,올라가다,0,0
놀이터,0,0,0,점프하다,0,0
놀이터,0,0,0,점프하다,0,0
놀이터,0,0,0,점프하다,0,0
>>>>>>> 206f7cde7ed13ebacd39b01536d0dd42589e9115
놀이터,0,미끄럼틀,0,타다,0,0
